6422	0
65	29
33	16
39	90
89	40
68	26
95	63
21	11
57	28
8	16
5	69
79	81
27	90
61	2
35	54
63	45
82	15
98	84
35	62
31	9
53	83
77	95
34	39
16	34
56	56
17	12
40	84
19	51
13	87
77	57
39	50
89	91
50	53
91	58
78	67
47	22
61	19
20	87
13	65
44	62
74	31
5	84
37	67
90	28
100	84
80	66
55	39
83	60
79	99
79	86
49	88
34	21
50	4
83	27
68	80
69	66
24	48
94	25
21	28
78	34
61	19
9	31
24	91
94	4
60	5
43	53
85	63
26	91
77	57
90	37
34	62
9	38
19	82
73	68
92	83
55	2
10	52
96	85
94	98
38	33
79	22
96	94
37	35
70	72
81	60
10	56
5	76
66	60
23	72
73	35
4	85
78	51
71	80
34	92
58	29
27	90
37	16
95	66
99	20
83	50
60	5
57	64
50	6
52	6
85	60
70	65
63	96
18	48
85	50
77	18
70	92
17	43
5	23
67	88
35	3
91	48
92	33
70	2
52	34
34	96
76	34
64	42
58	96
62	16
84	73
11	17
30	43
53	28
83	80
28	62
11	67
35	67
30	69
40	40
21	73
82	93
52	20
61	20
42	86
43	93
38	70
59	11
42	93
6	39
25	23
36	93
51	81
36	46
96	14
8	71
94	11
66	15
70	63
5	80
99	44
35	5
23	59
61	26
66	7
95	10
34	66
51	54
38	77
29	65
93	34
82	79
13	16
42	69
66	68
1	13
77	85
75	95
92	23
51	79
53	62
56	74
7	50
23	34
56	75
42	51
13	22
30	45
25	27
90	59
94	62
26	11
55	45
70	76
40	57
21	95
52	28
23	96
69	71
66	78
59	51
88	40
25	29
91	71
86	38
64	4
93	47
52	77
34	63
33	32
65	44
11	24
98	70
66	33
2	58
4	27
20	45
77	63
32	30
8	18
73	9
92	43
8	58
84	35
78	71
60	38
40	43
43	22
50	4
57	5
88	87
34	98
96	99
16	1
25	35
24	76
23	45
26	35
91	2
14	39
85	22
94	97
38	99
13	77
58	63
49	23
15	64
81	67
48	95
60	23
69	33
75	100
27	94
70	10
25	94
48	89
78	2
